NAME,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Dylan CarlsonSTL/TB,RF,88,214,19,43,0.201,7,0,3,23,59,20,67,2,0.281,0.276,0.557,-1.1
Bryan De La CruzPIT/MIA,LF,138,544,57,128,0.235,24,0,19,63,209,27,155,4,0.274,0.384,0.658,-1.1
Adam DuvallATL,RF,101,299,29,55,0.184,10,0,11,30,98,21,99,0,0.248,0.328,0.576,-1.1
Javier BaezDET,SS,80,272,25,50,0.184,12,0,6,37,80,12,69,8,0.221,0.294,0.516,-1.2
Martin MaldonadoCHW,C,48,135,9,16,0.119,3,0,4,11,31,8,51,0,0.174,0.23,0.403,-1.3
Nick SenzelCHW/WSH,3B,74,236,25,46,0.195,11,0,7,18,78,28,61,1,0.283,0.331,0.614,-1.3
Lenyn SosaCHW,3B,85,298,18,69,0.232,11,0,4,25,92,10,68,3,0.26,0.309,0.569,-1.3
Noelvi MarteCIN,3B,54,187,22,38,0.203,7,0,4,15,57,6,65,8,0.239,0.305,0.543,-1.4
Tim AndersonMIA,SS,65,234,16,50,0.214,3,0,0,9,53,7,68,4,0.237,0.226,0.463,-1.4
Eddie RosarioATL/WSH,RF,91,297,33,52,0.175,12,0,10,35,94,16,77,9,0.215,0.316,0.531,-1.5
Elehuris MonteroCOL,1B,67,224,23,46,0.205,10,0,4,28,68,20,56,0,0.267,0.304,0.571,-1.6
Jose AbreuHOU,1B,35,113,10,14,0.124,2,0,2,7,22,4,28,0,0.167,0.195,0.361,-1.6
DJ LeMahieuNYY,3B,67,201,19,41,0.204,5,0,2,26,52,19,35,0,0.269,0.259,0.527,-1.7
Jack SuwinskiPIT,CF,88,247,29,45,0.182,8,0,9,26,80,27,79,9,0.264,0.324,0.588,-1.7
Nick GordonMIA,LF,95,260,29,59,0.227,11,1,8,32,96,11,67,5,0.258,0.369,0.627,-1.8
Brandon DruryLAA,2B,88,290,27,49,0.169,6,0,4,15,67,26,70,0,0.247,0.231,0.478,-1.9
