NAME,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Jesse WinkerWSH/NYM,LF,137,411,63,108,0.263,23,0,14,58,173,59,103,14,0.365,0.421,0.786,2.2
Jose CaballeroTB,SS,126,405,53,95,0.235,24,1,9,44,148,26,123,40,0.292,0.365,0.657,2.2
Carlos SantanaMIN,1B,135,465,57,111,0.239,24,0,21,63,198,57,89,4,0.328,0.426,0.754,2.2
Brandon NimmoNYM,LF,136,509,78,115,0.226,24,3,18,75,199,74,142,13,0.336,0.391,0.727,2.2
Cody BellingerCHC,CF,116,459,64,122,0.266,23,1,17,66,198,43,78,9,0.33,0.431,0.761,2.2
Tyler StephensonCIN,C,125,411,62,106,0.258,24,1,18,58,186,41,100,1,0.334,0.453,0.787,2.2
Taylor WardLAA,LF,140,524,67,130,0.248,26,2,23,67,229,54,150,4,0.321,0.437,0.758,2.1
Mike YastrzemskiSF,RF,126,379,52,90,0.237,14,9,15,50,167,34,111,3,0.31,0.441,0.75,2.1
Josh RojasSEA,3B,130,393,45,90,0.229,19,2,7,26,134,43,102,10,0.308,0.341,0.649,2.1
Wyatt LangfordTEX,LF,119,444,59,111,0.25,22,4,10,63,171,41,103,14,0.316,0.385,0.701,2.1
Nathaniel LoweTEX,1B,125,431,55,114,0.265,14,1,13,56,169,64,112,2,0.362,0.392,0.754,2
Gabriel MorenoARI,C,86,275,36,72,0.262,17,1,5,41,106,34,45,3,0.344,0.385,0.729,2
Dylan MooreSEA,SS,120,340,47,70,0.206,22,4,10,41,130,45,118,29,0.318,0.382,0.7,2
Gavin LuxLAD,2B,125,403,51,101,0.251,22,2,10,47,157,34,99,5,0.311,0.39,0.7,2
Jose MirandaMIN,3B,116,387,44,114,0.295,28,4,9,49,177,18,60,2,0.333,0.457,0.79,2
Richie PalaciosTB,2B,88,253,46,59,0.233,8,1,5,21,84,42,66,19,0.35,0.332,0.682,2
Logan O'HoppeLAA,C,123,437,56,104,0.238,14,1,19,54,177,28,142,2,0.295,0.405,0.7,2
Brayan RocchioCLE,SS,130,347,49,73,0.21,15,0,8,32,112,41,77,10,0.303,0.323,0.626,2
Kerry CarpenterDET,RF,74,229,33,66,0.288,15,5,14,49,133,20,69,0,0.349,0.581,0.93,2
J.P. CrawfordSEA,SS,90,339,48,67,0.198,15,1,9,36,111,47,88,5,0.302,0.327,0.629,2
Jake McCarthyARI,RF,127,386,61,113,0.293,12,7,8,52,163,30,71,21,0.36,0.422,0.782,2
Ryan JeffersMIN,C,109,371,50,86,0.232,21,0,20,61,167,30,85,3,0.309,0.45,0.759,1.9
Fernando Tatis Jr.SD,RF,88,341,55,94,0.276,16,1,16,41,160,30,80,8,0.344,0.469,0.813,1.9
Brendan DonovanSTL,LF,137,526,60,143,0.272,30,2,12,63,213,41,71,4,0.337,0.405,0.742,1.9
Michael Harris IIATL,CF,94,371,43,92,0.248,12,2,11,37,141,18,87,8,0.287,0.38,0.667,1.9
Luis Garcia Jr.WSH,2B,127,455,51,128,0.281,25,1,15,63,200,26,78,21,0.32,0.44,0.759,1.9
Garrett MitchellMIL,CF,55,158,25,39,0.247,10,2,5,14,68,19,56,7,0.331,0.43,0.762,1.8
Connor WongBOS,C,114,406,53,116,0.286,21,1,13,48,178,25,102,6,0.339,0.438,0.778,1.8
Otto LopezMIA,2B,103,351,39,89,0.254,19,1,4,32,122,21,66,16,0.296,0.348,0.644,1.8
Lourdes Gurriel Jr.ARI,LF,125,486,69,133,0.274,22,1,17,70,208,27,98,7,0.316,0.428,0.744,1.8
Jake CronenworthSD,1B,141,527,70,131,0.249,27,3,16,78,212,53,105,5,0.328,0.402,0.731,1.8
Luis RengifoLAA,3B,78,283,41,85,0.3,13,1,6,30,118,16,44,24,0.347,0.417,0.763,1.8
Xavier EdwardsMIA,SS,56,205,30,68,0.332,9,2,1,19,84,27,38,26,0.403,0.41,0.812,1.8
Sal FrelickMIL,RF,131,433,62,113,0.261,18,4,2,28,145,39,72,16,0.328,0.335,0.663,1.7
Patrick BaileySF,C,109,363,41,85,0.234,15,1,7,42,123,35,89,3,0.297,0.339,0.636,1.7
Alejandro KirkTOR,C,90,296,21,72,0.243,16,0,5,44,103,30,46,0,0.309,0.348,0.657,1.7
Michael TogliaCOL,1B,101,346,55,75,0.217,11,3,23,50,161,44,125,7,0.305,0.465,0.77,1.7
Alex CallWSH,RF,30,99,15,34,0.343,9,0,3,14,52,12,19,5,0.425,0.525,0.95,1.6
Jeff McNeilNYM,2B,129,424,57,101,0.238,26,0,12,44,163,35,68,5,0.308,0.384,0.692,1.6
Spencer SteerCIN,LF,145,528,68,121,0.229,31,2,19,86,213,67,124,25,0.323,0.403,0.726,1.5
Randal GrichukARI,RF,95,233,33,65,0.279,17,2,9,37,113,18,43,0,0.336,0.485,0.821,1.5
Yandy DiazTB,1B,134,529,51,150,0.284,28,1,14,65,222,45,88,0,0.341,0.42,0.76,1.5
Willi CastroMIN,2B,143,507,80,125,0.247,29,5,11,53,197,47,141,13,0.33,0.389,0.718,1.5
Jacob StallingsCOL,C,74,219,26,57,0.26,14,1,8,34,97,25,58,0,0.356,0.443,0.799,1.5
Spencer HorwitzTOR,2B,83,278,42,77,0.277,18,0,12,35,131,34,56,0,0.363,0.471,0.834,1.5
Jose SiriTB,CF,120,374,46,69,0.184,14,0,17,43,134,31,156,14,0.257,0.358,0.616,1.5
Randy ArozarenaSEA/TB,LF,140,497,71,109,0.219,29,0,19,54,195,63,151,20,0.329,0.392,0.721,1.5
Tyrone TaylorNYM,RF,115,272,41,65,0.239,18,3,6,31,107,15,69,9,0.29,0.393,0.683,1.4
Josh NaylorCLE,1B,138,513,77,125,0.244,25,0,29,101,237,53,93,6,0.321,0.462,0.783,1.4
Jonathan IndiaCIN,2B,137,489,77,119,0.243,26,1,14,54,189,72,119,12,0.349,0.387,0.735,1.4
Trevor LarnachMIN,LF,101,316,52,80,0.253,16,0,15,48,141,35,82,4,0.331,0.446,0.778,1.4
Maikel GarciaKC,3B,142,540,83,128,0.237,25,5,7,55,184,36,92,33,0.282,0.341,0.623,1.4
Ryan O'HearnBAL,1B,128,401,56,103,0.257,18,3,13,53,166,44,60,3,0.331,0.414,0.745,1.4
Masataka YoshidaBOS,LF,96,336,40,96,0.286,19,0,9,49,142,26,49,1,0.356,0.423,0.779,1.4
Kyle IsbelKC,CF,122,349,55,80,0.229,11,7,7,40,126,22,73,9,0.279,0.361,0.64,1.4
Michael MasseyKC,2B,85,286,41,74,0.259,13,2,13,40,130,12,46,1,0.289,0.455,0.744,1.4
Parker MeadowsDET,CF,67,211,32,49,0.232,10,5,7,25,90,22,61,9,0.306,0.427,0.733,1.4
David FryCLE,C,113,321,43,83,0.259,16,1,14,48,143,41,79,4,0.356,0.445,0.801,1.4
Ozzie AlbiesATL,2B,90,361,47,93,0.258,28,1,8,46,147,24,61,8,0.31,0.407,0.717,1.4
Jared TrioloPIT,2B,110,344,37,73,0.212,10,1,8,42,109,40,98,7,0.298,0.317,0.615,1.4
Nolan SchanuelLAA,1B,135,478,59,118,0.247,17,0,13,49,174,64,97,6,0.342,0.364,0.706,1.4
George SpringerTOR,RF,134,502,69,111,0.221,18,2,19,56,190,56,107,14,0.306,0.378,0.684,1.3
Oswaldo CabreraNYY,3B,99,277,43,68,0.245,10,0,8,35,102,20,55,4,0.296,0.368,0.664,1.3
Andrew McCutchenPIT,RF,109,407,64,98,0.241,16,1,20,50,176,54,119,3,0.338,0.432,0.771,1.3
Travis d'ArnaudATL,C,90,274,38,67,0.245,16,0,14,46,125,20,76,1,0.306,0.456,0.762,1.3
Andy IbanezDET,2B,86,198,26,51,0.258,8,1,5,32,76,12,55,2,0.304,0.384,0.688,1.3
Kyle HigashiokaSD,C,73,215,27,48,0.223,9,1,16,43,107,13,67,1,0.266,0.498,0.764,1.3
Miguel AmayaCHC,C,104,294,27,67,0.228,12,1,7,41,102,19,58,0,0.282,0.347,0.629,1.3
Vinnie PasquantinoKC,1B,131,496,64,130,0.262,30,2,19,97,221,40,71,1,0.315,0.446,0.76,1.3
Gleyber TorresNYY,2B,140,525,68,131,0.25,22,0,13,56,192,61,123,4,0.327,0.366,0.692,1.2
Paul DeJongCHW/KC,SS,132,429,53,99,0.231,17,0,24,56,188,22,150,2,0.28,0.438,0.718,1.2
Alec BurlesonSTL,RF,137,496,64,134,0.27,18,0,21,73,215,30,71,9,0.313,0.433,0.747,1.2
Paul GoldschmidtSTL,1B,139,548,62,135,0.246,29,0,21,59,227,42,160,9,0.302,0.414,0.717,1.1
Xander BogaertsSD,2B,97,376,46,99,0.263,13,1,9,37,141,25,68,10,0.307,0.375,0.682,1.1
Romy GonzalezBOS,1B,77,170,21,47,0.276,10,1,4,23,71,12,49,10,0.323,0.418,0.74,1.1
Ramon UriasBAL,3B,93,246,33,62,0.252,9,2,10,35,105,23,51,1,0.327,0.427,0.754,1.1
Taylor WallsTB,SS,73,190,24,34,0.179,5,2,1,13,46,30,58,14,0.287,0.242,0.529,1.1
James WoodWSH,LF,63,234,35,64,0.274,11,3,5,34,96,32,78,12,0.366,0.41,0.776,1.1
Jake RogersDET,C,91,282,40,55,0.195,15,1,10,35,102,19,91,1,0.252,0.362,0.613,1.1
Elias DiazSD/COL,C,88,308,26,83,0.269,19,0,5,36,117,17,64,0,0.314,0.38,0.694,1.1
Zack GelofOAK,2B,123,444,56,93,0.209,17,2,17,45,165,35,168,23,0.271,0.372,0.643,1.1
Michael ConfortoSF,LF,118,393,48,90,0.229,25,3,16,56,169,41,110,0,0.307,0.43,0.737,1.1
Jake MeyersHOU,CF,134,421,47,94,0.223,19,3,12,57,155,30,110,10,0.287,0.368,0.655,1.1
Luis ArraezSD/MIA,1B,137,583,77,185,0.317,25,2,4,42,226,22,26,9,0.35,0.388,0.738,1.1
Max SchuemannOAK,SS,121,362,52,81,0.224,12,0,7,34,114,45,108,14,0.315,0.315,0.63,1.1
Lars NootbaarSTL,RF,94,305,31,75,0.246,16,2,9,36,122,44,69,7,0.339,0.4,0.739,1.1
Stuart FairchildCIN,CF,94,209,33,45,0.215,8,0,8,30,77,17,60,13,0.286,0.368,0.654,1
Mike TroutLAA,CF,29,109,17,24,0.22,1,2,10,14,59,16,27,6,0.325,0.541,0.867,1
Enrique HernandezLAD,3B,113,324,35,70,0.216,15,0,9,33,112,26,71,0,0.272,0.346,0.618,1
Sean MurphyATL,C,64,210,16,43,0.205,4,1,9,22,76,21,58,0,0.286,0.362,0.648,1
Ivan HerreraSTL,C,64,204,30,57,0.279,10,1,3,22,78,20,48,5,0.346,0.382,0.729,1
Alex VerdugoNYY,LF,139,527,69,125,0.237,28,1,12,58,191,47,89,1,0.296,0.362,0.658,1
Ben RortvedtTB,C,102,269,26,62,0.23,13,0,3,30,84,33,82,1,0.321,0.312,0.634,1
J.D. MartinezNYM,DH,110,400,44,99,0.248,23,1,16,69,172,45,132,0,0.33,0.43,0.76,1
Michael SianiSTL,CF,110,263,38,65,0.247,6,2,2,20,81,13,77,17,0.289,0.308,0.597,1
Luis TorrensNYM,C,39,105,14,27,0.257,8,0,3,15,44,8,24,0,0.313,0.419,0.732,0.9
Leo JimenezTOR,SS,51,146,16,33,0.226,10,0,4,17,55,12,51,0,0.335,0.377,0.712,0.9
Max KeplerMIN,RF,105,368,43,93,0.253,21,1,8,42,140,22,80,1,0.302,0.38,0.682,0.9
Harrison BaderNYM,CF,128,370,52,90,0.243,18,0,11,47,141,17,85,16,0.288,0.381,0.669,0.9
Mauricio DubonHOU,LF,123,356,44,95,0.267,23,0,4,44,130,13,50,3,0.293,0.365,0.659,0.9
Josh LoweTB,RF,91,305,32,74,0.243,17,2,9,30,122,27,102,23,0.302,0.4,0.702,0.9
Royce LewisMIN,3B,66,234,34,58,0.248,14,0,16,46,120,22,63,0,0.307,0.513,0.819,0.9
Jorge MateoBAL,2B,68,192,30,44,0.229,14,2,5,18,77,10,48,13,0.267,0.401,0.668,0.9
Jhonkensy NoelCLE,RF,56,153,24,35,0.229,6,0,13,28,80,12,55,0,0.304,0.523,0.827,0.9
Colt KeithDET,2B,134,476,51,124,0.261,15,3,12,55,181,33,101,7,0.311,0.38,0.691,0.9
Justin TurnerSEA/TOR,1B,125,414,53,104,0.251,20,0,10,46,154,53,83,0,0.35,0.372,0.722,0.9
Victor CaratiniHOU,C,73,195,23,53,0.272,7,1,6,22,80,17,39,0,0.335,0.41,0.745,0.9
Jonah HeimTEX,C,119,416,41,90,0.216,11,0,12,53,137,24,81,1,0.263,0.329,0.592,0.9
Zach McKinstryDET,SS,104,274,29,61,0.223,13,4,4,22,94,21,67,14,0.282,0.343,0.625,0.9
Luis Robert Jr.CHW,CF,88,344,40,76,0.221,15,0,14,35,133,24,126,21,0.273,0.387,0.66,0.8
Ke'Bryan HayesPIT,3B,96,365,38,85,0.233,9,0,4,25,106,23,75,11,0.283,0.29,0.573,0.8
Johan RojasPHI,CF,111,316,44,77,0.244,11,2,3,30,101,12,65,23,0.28,0.32,0.6,0.8
Michael A. TaylorPIT,CF,109,267,35,51,0.191,8,1,5,21,76,22,105,12,0.249,0.285,0.534,0.8
Matt ThaissLAA,C,47,128,13,28,0.219,8,0,2,14,42,23,45,3,0.336,0.328,0.664,0.8
Brendan RodgersCOL,2B,126,474,61,128,0.27,25,1,13,50,194,25,123,1,0.311,0.409,0.72,0.8
Bo NaylorCLE,C,110,318,37,66,0.208,10,2,12,38,116,26,109,6,0.27,0.365,0.635,0.8
Jorge PolancoSEA,2B,105,369,40,75,0.203,9,0,14,39,126,43,128,4,0.293,0.341,0.634,0.8
Jason HeywardHOU/LAD,RF,75,194,29,39,0.201,11,2,7,32,75,19,45,4,0.282,0.387,0.668,0.8
Rob RefsnyderBOS,LF,93,271,32,77,0.284,16,1,11,40,128,28,77,2,0.361,0.472,0.833,0.8
Tommy EdmanLAD,SS,21,80,12,24,0.3,2,1,4,13,40,3,16,5,0.321,0.5,0.821,0.8
Vidal BrujanMIA,2B,98,245,32,55,0.224,14,2,2,16,79,25,53,5,0.307,0.322,0.629,0.8
Donovan SolanoSD,3B,82,239,28,69,0.289,9,0,6,31,96,19,52,1,0.347,0.402,0.749,0.7
Pavin SmithARI,RF,46,94,19,25,0.266,6,0,7,27,52,11,17,1,0.336,0.553,0.89,0.7
Joey LoperfidoTOR/HOU,LF,70,213,22,49,0.23,11,4,4,24,80,11,80,3,0.279,0.376,0.655,0.7
Rece HindsCIN,RF,21,44,9,12,0.273,4,1,5,11,33,3,15,2,0.333,0.75,1.083,0.7
Andy PagesLAD,CF,105,374,55,91,0.243,22,1,10,39,145,26,102,1,0.3,0.388,0.688,0.7
Evan CarterTEX,LF,45,144,23,27,0.188,6,2,5,15,52,15,43,2,0.272,0.361,0.633,0.7
Josh JungTEX,3B,42,163,18,45,0.276,5,1,7,15,73,7,44,4,0.308,0.448,0.756,0.7
Jesus SanchezMIA,RF,134,435,50,107,0.246,22,1,17,59,182,33,122,14,0.304,0.418,0.722,0.7
Jarred KelenicATL,LF,127,404,48,94,0.233,18,2,15,44,161,30,129,7,0.285,0.399,0.684,0.7
Danny JansenBOS/TOR,C,85,261,34,55,0.211,13,0,9,24,95,36,57,0,0.31,0.364,0.674,0.7
Jo AdellLAA,RF,130,405,54,84,0.207,15,2,20,62,163,35,126,15,0.28,0.402,0.682,0.7
Connor JoePIT,1B,117,354,49,81,0.229,22,1,9,36,132,41,87,2,0.318,0.373,0.69,0.7
Trey SweeneyDET,SS,22,65,7,15,0.231,2,0,4,12,29,3,15,2,0.275,0.446,0.722,0.7
Orlando ArciaATL,SS,141,496,43,109,0.22,22,0,16,42,179,36,114,2,0.272,0.361,0.633,0.7
Weston WilsonPHI,LF,30,67,11,21,0.313,4,1,3,8,36,5,20,2,0.356,0.537,0.893,0.7
Pedro PagesSTL,C,57,164,17,40,0.244,2,2,6,22,64,10,45,1,0.284,0.39,0.674,0.7
Austin BarnesLAD,C,50,132,10,35,0.265,3,0,1,11,41,13,34,2,0.331,0.311,0.642,0.7
David PeraltaSD,RF,81,209,30,56,0.268,10,0,7,25,87,20,43,2,0.338,0.416,0.754,0.7
Ramon LaureanoATL/CLE,RF,84,228,29,58,0.254,13,0,8,25,95,14,81,7,0.313,0.417,0.73,0.7
Rafael MarchanPHI,C,17,51,8,15,0.294,4,0,3,6,28,3,8,0,0.345,0.549,0.894,0.6
Mark CanhaSF/DET,1B,118,377,45,89,0.236,19,0,7,42,129,50,92,5,0.34,0.342,0.682,0.6
Juan YepezWSH,1B,50,181,23,52,0.287,14,0,5,22,81,15,31,2,0.34,0.448,0.788,0.6
Kevin KiermaierTOR/LAD,CF,106,250,29,48,0.192,8,3,5,24,77,11,83,6,0.231,0.308,0.539,0.6
Nick GonzalesPIT,2B,80,307,36,84,0.274,16,2,5,45,119,13,64,4,0.308,0.388,0.696,0.6
Daniel SchneemannCLE,SS,66,176,15,40,0.227,9,2,5,21,68,22,63,3,0.308,0.386,0.695,0.6
Nathan LukesTOR,RF,8,28,4,10,0.357,1,1,0,4,13,4,4,1,0.424,0.464,0.889,0.6
Abraham ToroOAK,3B,94,337,34,81,0.24,17,1,6,26,118,20,62,4,0.293,0.35,0.643,0.6
Jorge SolerSF/ATL,RF,126,444,72,103,0.232,28,1,17,55,184,63,130,1,0.331,0.414,0.745,0.6
Keibert RuizWSH,C,115,412,45,94,0.228,20,0,13,50,153,15,48,2,0.261,0.371,0.633,0.6
Giancarlo StantonNYY,DH,103,381,44,88,0.231,17,0,25,62,180,31,128,0,0.292,0.472,0.764,0.6
Tyler FreemanCLE,CF,117,330,48,69,0.209,14,1,7,32,106,28,53,11,0.305,0.321,0.626,0.6
Connor NorbyBAL/MIA,2B,30,116,22,30,0.259,8,0,8,18,62,6,39,2,0.293,0.534,0.827,0.6
Kody ClemensPHI,1B,34,98,15,23,0.235,9,1,4,17,46,4,22,0,0.265,0.469,0.734,0.5
Will WagnerTOR,3B,23,77,8,24,0.312,6,0,2,11,36,4,15,0,0.346,0.468,0.813,0.5
Hunter RenfroeKC,RF,108,350,42,84,0.24,18,0,13,50,141,35,73,1,0.312,0.403,0.715,0.5
Dane MyersMIA,RF,40,83,15,22,0.265,5,1,2,14,35,7,32,4,0.337,0.422,0.759,0.5
Wenceel PerezDET,RF,98,348,49,84,0.241,13,5,9,32,134,27,77,9,0.297,0.385,0.682,0.5
Christian BethancourtCHC/MIA,C,54,122,18,26,0.213,7,0,5,22,48,5,32,3,0.25,0.393,0.643,0.5
Mike TauchmanCHC,RF,97,282,49,69,0.245,12,1,6,24,101,41,66,6,0.348,0.358,0.706,0.5
Francisco AlvarezNYM,C,86,270,30,63,0.233,12,2,7,34,100,25,77,1,0.302,0.37,0.672,0.5
Eric HaaseMIL,C,23,50,7,14,0.28,0,0,4,11,26,3,22,0,0.321,0.52,0.841,0.5
Jon BertiNYY,3B,19,55,8,15,0.273,0,0,1,6,18,4,13,4,0.322,0.327,0.649,0.5
Nick FortesMIA,C,98,270,24,62,0.23,14,0,3,25,85,9,36,0,0.262,0.315,0.577,0.5
Ezequiel DuranTEX,3B,81,229,24,57,0.249,9,0,3,19,75,13,53,1,0.291,0.328,0.618,0.5
Jon SingletonHOU,1B,111,331,45,79,0.239,10,1,13,38,130,42,103,0,0.322,0.393,0.715,0.5
Ty FranceSEA/CIN,1B,126,430,42,105,0.244,22,0,12,45,163,36,104,1,0.32,0.379,0.699,0.5
Leo RivasSEA,SS,36,68,9,17,0.25,1,1,0,8,20,9,23,3,0.346,0.294,0.64,0.5
Jonathan OrnelasTEX,3B,13,23,1,4,0.174,2,0,0,1,6,2,8,0,0.24,0.261,0.501,0.5
Brett BatyNYM,3B,50,153,15,35,0.229,3,0,4,16,50,16,42,0,0.306,0.327,0.633,0.5
Ryan BlissSEA,2B,33,63,10,14,0.222,3,1,2,9,25,5,22,5,0.29,0.397,0.687,0.5
Jonny DeLucaTB,RF,97,302,28,65,0.215,12,4,6,31,103,23,72,16,0.277,0.341,0.618,0.5
Austin WynnsCIN,C,7,19,3,7,0.368,4,0,0,2,11,0,5,0,0.4,0.579,0.979,0.4
Junior CamineroTB,SS,29,109,11,26,0.239,3,1,3,12,40,11,26,2,0.314,0.367,0.681,0.4
Starling MarteNYM,RF,82,301,40,80,0.266,12,2,7,34,117,19,74,15,0.312,0.389,0.7,0.4
Jose TrevinoNYY,C,68,192,24,43,0.224,5,0,8,28,72,18,37,1,0.294,0.375,0.669,0.4
Santiago EspinalCIN,3B,106,316,30,84,0.266,12,0,9,45,123,21,48,10,0.312,0.389,0.701,0.4
Anthony RendonLAA,3B,57,206,21,45,0.218,10,0,0,14,55,23,35,6,0.307,0.267,0.574,0.4
Gary SanchezMIL,C,79,218,27,49,0.225,7,1,10,35,88,24,67,0,0.313,0.404,0.717,0.4
Yoan MoncadaCHW,3B,11,39,4,11,0.282,3,1,0,0,16,5,10,1,0.364,0.41,0.774,0.4
Garrett HampsonKC,CF,102,199,15,46,0.231,13,1,0,15,61,11,53,7,0.27,0.307,0.577,0.4
Drew MillasWSH,C,15,41,6,11,0.268,1,0,1,1,15,3,10,3,0.318,0.366,0.684,0.4
Nasim NunezWSH,SS,37,29,13,10,0.345,1,0,0,1,11,6,6,5,0.457,0.379,0.836,0.4
Adolis GarciaTEX,RF,141,530,62,116,0.219,25,0,22,75,207,41,159,11,0.28,0.391,0.67,0.4
Jake FraleyCIN,RF,103,310,40,86,0.277,17,2,4,24,119,22,65,20,0.329,0.384,0.713,0.4
Angel MartinezCLE,CF,31,110,12,26,0.236,6,0,3,9,41,12,23,2,0.306,0.373,0.679,0.4
Garrett StubbsPHI,C,51,155,17,32,0.206,4,1,1,10,41,16,47,5,0.295,0.265,0.56,0.4
Lane ThomasCLE/WSH,RF,116,422,58,104,0.246,25,3,11,57,168,41,122,32,0.32,0.398,0.718,0.4
Carson KellyTEX/DET,C,83,252,29,62,0.246,8,1,8,36,96,24,51,0,0.325,0.381,0.706,0.3
Joey GalloWSH,1B,63,185,20,29,0.157,9,0,6,17,56,29,86,3,0.283,0.303,0.586,0.3
Miguel AndujarOAK,LF,75,302,31,86,0.285,14,1,4,30,114,13,42,3,0.32,0.377,0.697,0.3
Eguy RosarioSD,3B,30,53,5,13,0.245,6,0,3,6,28,2,20,0,0.286,0.528,0.814,0.3
Kevin PillarLAA/CHW,CF,93,260,34,63,0.242,16,1,7,44,102,13,60,10,0.298,0.392,0.691,0.3
Heston KjerstadBAL,LF,28,69,6,18,0.261,2,0,3,12,29,9,24,1,0.37,0.42,0.791,0.3
Kyle McCannOAK,C,48,128,13,32,0.25,4,0,5,15,51,15,54,0,0.333,0.398,0.732,0.3
Eli WhiteATL,LF,21,27,6,8,0.296,1,1,1,4,14,1,8,1,0.345,0.519,0.863,0.3
Jose TenaCLE/WSH,3B,29,104,10,32,0.308,5,0,2,12,43,5,25,3,0.339,0.413,0.753,0.3
Jake BurgerMIA,3B,122,472,60,115,0.244,19,1,25,61,211,29,133,1,0.298,0.447,0.745,0.3
Luis UriasSEA,3B,36,86,10,15,0.174,6,0,4,16,33,8,33,0,0.283,0.384,0.667,0.3
Tucker BarnhartARI,C,31,81,13,14,0.173,3,0,0,6,17,13,31,1,0.287,0.21,0.497,0.3
Travis JankowskiTEX,RF,96,172,17,36,0.209,3,0,1,11,42,10,40,11,0.269,0.244,0.513,0.3
Dairon BlancoKC,LF,82,117,36,31,0.265,4,0,4,13,47,8,32,29,0.315,0.402,0.717,0.3
Grant McCraySF,CF,23,82,7,18,0.22,3,1,5,9,38,3,35,3,0.247,0.463,0.71,0.3
Griffin ConineMIA,RF,16,45,9,12,0.267,2,1,1,4,19,4,16,0,0.34,0.422,0.762,0.3
Jacob AmayaCHW/HOU,2B,12,33,2,8,0.242,1,0,0,2,9,3,12,1,0.306,0.273,0.578,0.3
Jerar EncarnacionSF,RF,24,79,9,22,0.278,4,0,4,16,38,4,25,1,0.31,0.481,0.791,0.3
Andres ChaparroWSH,3B,26,96,11,23,0.24,10,0,4,14,45,6,19,1,0.305,0.469,0.774,0.3
Blake SabolSF,C,11,32,3,10,0.313,2,0,0,1,12,5,9,0,0.421,0.375,0.796,0.3
Curt CasaliSF,C,35,93,11,17,0.183,3,0,1,6,23,11,20,0,0.283,0.247,0.53,0.2
Luis GuillormeLAA/ATL/ARI,2B,75,156,14,33,0.212,9,1,0,10,44,21,34,3,0.302,0.282,0.584,0.2
Zach RemillardCHW,2B,15,33,3,8,0.242,1,1,0,1,11,5,10,1,0.342,0.333,0.675,0.2
Brooks LeeMIN,3B,37,135,9,30,0.222,4,0,3,18,43,9,22,3,0.267,0.319,0.586,0.2
TJ FriedlCIN,CF,72,254,30,54,0.213,5,1,11,48,94,20,47,9,0.294,0.37,0.664,0.2
Nolan GormanSTL,2B,107,365,42,74,0.203,15,0,19,50,146,34,151,6,0.271,0.4,0.671,0.2
Buddy KennedyPHI/DET,2B,10,14,3,3,0.214,0,0,1,5,6,4,6,1,0.368,0.429,0.797,0.2
Addison BargerTOR,RF,55,170,19,35,0.206,11,0,7,27,67,7,50,1,0.24,0.394,0.634,0.2
James McCannBAL,C,59,195,24,43,0.221,8,0,5,22,66,11,50,1,0.265,0.338,0.604,0.2
Andruw MonasterioMIL,3B,54,115,14,25,0.217,5,0,1,14,33,16,33,6,0.318,0.287,0.605,0.2
Luke WilliamsATL,LF,34,46,8,9,0.196,3,0,0,4,12,4,13,3,0.275,0.261,0.535,0.2
David DahlPHI,LF,19,58,6,12,0.207,2,0,3,8,23,3,21,0,0.242,0.397,0.638,0.2
Oliver DunnMIL,3B,41,95,11,21,0.221,2,2,1,7,30,6,40,3,0.282,0.316,0.597,0.2
Whit MerrifieldPHI/ATL,LF,87,267,40,58,0.217,8,3,4,14,84,34,44,16,0.313,0.315,0.627,0.2
Leody TaverasTEX,CF,137,434,52,97,0.224,17,3,9,39,147,38,98,19,0.284,0.339,0.622,0.2
Diego CastilloMIN,SS,4,6,3,2,0.333,1,0,0,2,3,2,1,0,0.5,0.5,1,0.2
Riley AdamsWSH,C,41,116,10,26,0.224,5,1,2,8,39,10,35,1,0.292,0.336,0.629,0.2
Dominic CanzoneSEA,RF,67,168,20,33,0.196,7,0,8,17,64,18,53,1,0.271,0.381,0.652,0.2
Brooks BaldwinCHW,2B,33,114,9,24,0.211,6,0,2,8,36,6,31,4,0.25,0.316,0.566,0.2
Yasmani GrandalPIT,C,65,196,21,43,0.219,10,0,7,24,74,20,40,1,0.29,0.378,0.668,0.2
Reese McGuireBOS,C,53,139,10,29,0.209,3,0,3,18,41,13,39,3,0.28,0.295,0.575,0.2
Jonathan ArandaTB,1B,29,79,14,18,0.228,6,0,2,7,30,8,22,0,0.303,0.38,0.683,0.2
Dominic FletcherCHW,CF,60,180,13,39,0.217,8,0,1,15,50,9,48,0,0.266,0.278,0.543,0.2
Chadwick TrompATL,C,19,52,3,13,0.25,6,0,0,6,19,1,17,0,0.259,0.365,0.625,0.2
Ben GamelHOU/NYM,RF,37,79,22,20,0.253,4,0,1,4,27,18,23,1,0.392,0.342,0.734,0.2
Adrian Del CastilloARI,C,23,75,11,22,0.293,4,0,4,17,38,7,28,1,0.354,0.507,0.86,0.2
