NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Chad GreenTOR,RP,49,0,0,3.49,4,6,16,7,49,36,19,8,14,43,7.9,1.02,0.5
Austin AdamsOAK,RP,56,0,0,3.92,1,2,0,22,41.1,38,18,4,23,53,11.5,1.48,0.5
Brandon WilliamsonCIN,SP,3,2,0,2.08,0,0,0,0,13,7,3,2,3,11,7.6,0.77,0.5
Sean GuentherDET,RP,10,0,0,0.82,1,0,0,1,11,4,1,0,1,6,4.9,0.45,0.5
Jose MarteLAA,RP,14,0,0,2.33,0,0,0,2,19.1,14,5,1,10,14,6.5,1.24,0.5
Bryan SammonsDET,RP,6,0,0,3.62,1,1,0,0,27.1,16,11,6,9,18,5.9,0.91,0.5
Anthony BandaLAD,RP,46,1,0,3.23,2,2,2,9,47.1,44,17,5,18,50,9.5,1.31,0.5
Kolby AllardPHI,SP,4,3,0,3.5,2,0,0,0,18,22,7,5,2,13,6.5,1.33,0.4
Roansy ContrerasPIT/LAA,RP,45,3,0,4.3,2,4,2,1,60.2,55,29,9,28,53,7.9,1.37,0.4
Josh WinckowskiBOS,RP,34,6,0,4.05,4,2,2,3,66.2,68,30,9,23,49,6.6,1.37,0.4
Luis PeraltaCOL,RP,8,0,0,0,0,0,0,0,7.1,3,0,0,3,9,11,0.82,0.4
Seranthony DominguezPHI/BAL,RP,57,0,0,3.98,3,4,10,5,54.1,45,24,11,16,65,10.8,1.12,0.4
Landen RouppSF,RP,20,1,0,3.44,0,1,0,1,36.2,29,14,1,19,36,8.8,1.31,0.4
Max ScherzerTEX,SP,8,8,3,3.89,2,4,0,0,39.1,35,17,6,8,38,8.7,1.09,0.4
Paul BlackburnOAK/NYM,SP,14,14,7,4.66,5,4,0,0,75.1,76,39,12,21,59,7,1.29,0.4
Brent HoneywellPIT/LAD,RP,15,1,0,2.83,1,1,1,1,28.2,26,9,3,9,16,5,1.22,0.4
Alex YoungCIN/NYM,RP,13,0,0,0.82,0,0,0,1,11,10,1,0,4,9,7.4,1.27,0.4
Dean KremerBAL,SP,22,22,9,4.1,7,9,0,0,118.2,100,54,15,49,113,8.6,1.26,0.4
Hunter BiggeCHC/TB,RP,13,1,0,0.75,0,0,0,0,12,10,1,0,4,15,11.3,1.17,0.4
Ryan BrasierLAD,RP,24,2,0,3.09,1,0,0,6,23.1,17,8,3,3,17,6.6,0.86,0.4
Matt BowmanSEA/BAL/ARI/MIN,RP,18,0,0,3.6,1,0,0,3,25,16,10,3,12,18,6.5,1.12,0.4
Jose RuizPHI,RP,45,0,0,3.65,3,1,0,0,44.1,41,18,7,13,47,9.5,1.22,0.4
Daysbel HernandezATL,RP,11,0,0,1.42,2,0,0,0,12.2,9,2,0,6,17,12.1,1.18,0.4
Reed GarrettNYM,RP,48,0,0,3.35,7,5,4,13,53.2,44,20,6,27,78,13.1,1.32,0.4
Sam HentgesCLE,RP,25,0,0,3.04,0,0,0,9,23.2,18,8,3,5,27,10.3,0.97,0.4
Cristian JavierHOU,SP,7,7,3,3.89,3,1,0,0,34.2,30,15,4,19,27,7,1.41,0.4
Drew RasmussenTB,RP,11,3,0,2.79,0,1,0,3,19.1,16,6,0,5,22,10.2,1.09,0.4
Elvis PegueroMIL,RP,52,0,0,2.98,7,4,2,11,51.1,52,17,4,27,47,8.2,1.54,0.4
Kevin GausmanTOR,SP,28,28,14,4.09,12,11,0,0,163,152,74,20,50,150,8.3,1.24,0.4
Joe RossMIL,SP,19,10,2,3.74,2,6,0,0,65,61,27,5,22,55,7.6,1.28,0.4
Chad KuhlCHW,RP,27,1,0,4.89,0,2,1,1,49.2,49,27,5,21,51,9.2,1.41,0.4
Jose AlvaradoPHI,RP,61,0,0,3.92,2,5,13,9,57.1,45,25,6,26,59,9.3,1.24,0.4
Vinny NittoliOAK/BAL,RP,9,0,0,1.5,0,1,0,1,12,10,2,1,2,8,6,1,0.4
Michael McGreevySTL,SP,1,1,1,1.29,1,0,0,0,7,5,1,0,1,3,3.9,0.86,0.4
Nick SandlinCLE,RP,63,1,0,3.78,8,0,1,9,52.1,38,22,10,25,63,10.8,1.2,0.4
Brady BassoOAK,RP,4,1,1,1.93,0,0,0,0,9.1,6,2,1,1,9,8.7,0.75,0.4
Nick BurdiNYY,RP,12,0,0,1.86,1,0,0,3,9.2,5,2,1,9,12,11.2,1.45,0.4
Scott BlewettMIN,RP,6,0,0,0.77,0,0,0,0,11.2,10,1,1,3,11,8.5,1.11,0.4
Danny YoungNYM,RP,36,0,0,3.18,4,0,0,6,34,22,12,2,16,45,11.9,1.12,0.4
