NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Kodai SengaNYM,SP,1,1,0,3.38,1,0,0,0,5.1,2,2,1,1,9,15.2,0.56,0.1
Sammy PeraltaCHW,RP,9,0,0,4.8,0,0,0,1,15,21,8,2,7,11,6.6,1.87,0.1
Ryan LoutosSTL,RP,3,0,0,0,0,0,0,0,2.1,2,0,0,1,0,0,1.29,0.1
Hector NerisCHC/HOU,RP,54,0,0,3.83,9,5,17,4,51.2,46,22,6,27,52,9.1,1.41,0.1
Jimmy HergetATL,RP,8,0,0,4.38,0,1,0,0,12.1,13,6,2,3,15,10.9,1.3,0.1
Tyler ZuberTB,RP,2,0,0,2.7,0,0,0,0,3.1,3,1,1,2,4,10.8,1.5,0.1
Tylor MegillNYM,SP,13,12,2,4.48,3,5,0,0,62.1,56,31,6,26,73,10.5,1.32,0.1
Jaden HillCOL,RP,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1
Sean BurkeCHW,RP,1,0,0,0,0,0,0,0,3,3,0,0,1,3,9,1.33,0.1
Austin HedgesCLE,C,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.5,0.1
Jackson StephensATL,RP,3,0,0,2.7,0,0,0,0,3.1,5,1,1,1,2,5.4,1.8,0.1
Anthony MisiewiczNYY,RP,1,0,0,0,0,0,0,0,1,2,0,0,1,1,9,3,0.1
Ryan BurrTOR,RP,27,2,0,4.1,0,1,0,2,26.1,21,12,3,11,35,12,1.22,0.1
Chris RoycroftSTL,RP,26,0,0,4.01,1,2,0,1,33.2,29,15,2,15,33,8.8,1.31,0.1
Aaron AshbyMIL,RP,8,2,0,2.61,1,2,0,1,20.2,12,6,2,9,20,8.7,1.02,0.1
Matt WallnerMIN,LF,1,0,0,0,0,0,0,0,1.1,2,0,0,0,0,0,1.5,0.1
Richard FittsBOS,SP,1,1,0,0,0,0,0,0,5.2,6,0,0,1,2,3.2,1.24,0.1
Daniel RobertTEX,RP,3,0,0,3.86,0,0,0,0,4.2,5,2,1,2,4,7.7,1.5,0.1
Willi CastroMIN,2B,2,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
Tyler MahleTEX,SP,3,3,0,4.97,0,1,0,0,12.2,14,7,1,4,10,7.1,1.42,0
Pablo ReyesBOS/NYM,2B,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0
Thyago VieiraBAL/ARI/MIL,RP,28,0,0,5.21,0,1,1,1,38,37,22,8,26,39,9.2,1.66,0
Nick PrattoKC,1B,1,0,0,0,0,0,0,0,1,1,0,0,0,1,9,1,0
Richard LoveladyCHC/TB,RP,30,0,0,4.75,3,6,2,3,30.1,31,16,3,10,22,6.5,1.35,0
Garrett HampsonKC,CF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Danny MendickCHW,3B,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
Kyle NelsonARI,RP,11,0,0,4.22,0,0,0,2,10.2,8,5,2,4,8,6.8,1.13,0
Jackson RutledgeWSH,SP,2,1,0,4.76,0,0,0,0,5.2,5,3,1,2,7,11.1,1.24,0
Nick LoftinKC,2B,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Aroldis ChapmanPIT,RP,62,0,0,4.18,5,5,8,22,56,42,26,5,39,91,14.6,1.45,0
Miguel DiazHOU,RP,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cole TuckerLAA,3B,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0
David BoteCHC,3B,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0
Weston WilsonPHI,LF,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Pavin SmithARI,RF,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Leo RivasSEA,SS,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Dylan ColemanHOU,RP,1,0,0,0,0,0,0,0,1,0,0,0,1,1,9,1,0
Caleb BoushleyMIN,RP,2,0,0,4.5,0,0,0,0,4,6,2,0,2,1,2.3,2,0
Grae KessingerHOU,3B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Evan KravetzCIN,RP,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
James MeekerMIL,P,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0
Nick RobertsonSTL,RP,8,0,0,4.38,0,0,0,0,12.1,15,6,3,2,14,10.2,1.38,0
Clayton BeeterNYY,RP,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Amir GarrettLAA,RP,6,0,0,5.06,0,0,0,0,5.1,4,3,1,5,11,18.6,1.69,0
Luke WilliamsATL,LF,3,0,0,4.5,0,0,0,0,4,5,2,0,1,0,0,1.5,0
Kirby SneadSEA,RP,11,0,0,4.35,0,0,0,0,10.1,12,5,0,7,7,6.1,1.84,0
Tejay AntoneCIN,RP,4,0,0,4.5,0,0,0,0,2,2,1,0,4,2,9,3,0
Josh FlemingPIT,RP,25,3,0,4.02,1,1,1,1,31.1,34,14,3,14,17,4.9,1.53,0
Justin SternerTB,RP,2,0,0,2.25,0,0,0,0,4,5,1,0,1,4,9,1.5,0
Miguel SanoLAA,3B,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Patrick WisdomCHC,1B,1,0,0,0,0,0,0,0,0.1,1,0,0,1,0,0,6,0
Ildemaro VargasWSH,2B,2,0,0,4.5,0,0,0,0,2,3,1,1,0,0,0,1.5,0
Isiah Kiner-FalefaPIT/TOR,3B,2,0,0,4.5,0,0,0,0,2,1,1,0,2,0,0,1.5,0
Luis TorrensNYM,C,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Jake BauersMIL,1B,4,0,0,4.5,0,0,0,0,4,5,2,0,4,1,2.3,2.25,0
Dinelson LametLAD,SP,3,0,0,2.08,0,0,1,0,4.1,2,1,1,2,3,6.2,0.92,0
Tyler GilbertPHI,RP,1,0,0,4.5,0,0,0,0,2,2,1,0,1,1,4.5,1.5,0
Oswaldo CabreraNYY,3B,1,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,6,0
Ben RortvedtTB,C,1,0,0,4.5,0,0,0,0,2,3,1,1,2,1,4.5,2.5,0
Alex SpeasHOU,RP,1,0,0,4.5,0,0,0,0,2,2,1,1,1,2,9,1.5,0
Greg WeissertBOS,RP,53,0,0,3.64,4,2,1,5,54.1,59,22,7,19,51,8.4,1.44,0
Jacob LopezTB,RP,4,1,0,5.23,0,0,0,0,10.1,5,6,2,7,8,7,1.16,0
Ricky VanascoDET/LAD,RP,4,0,0,6.75,1,0,0,1,4,3,3,0,0,1,2.3,0.75,0
Evan JusticeCOL,RP,1,0,0,0,0,0,0,0,0.1,0,0,0,1,1,27,3,0
Gordon GraceffoSTL,SP,2,1,0,4.7,0,1,0,0,7.2,7,4,1,2,6,7,1.17,0
Rich HillBOS,RP,4,0,0,4.91,0,1,0,0,3.2,1,2,1,3,5,12.3,1.09,0
Casey KellyCIN,SP,2,0,0,5.06,0,0,1,0,5.1,5,3,1,1,4,6.8,1.13,0
Carl Edwards Jr.SD,RP,1,0,0,---,0,0,0,0,0,1,0,0,2,0,0,INF,0
Wander SueroHOU,RP,1,0,0,---,0,1,0,0,0,1,0,0,0,0,0,INF,0
Bryan BakerBAL,RP,17,0,0,4.71,1,1,0,3,21,18,11,2,6,18,7.7,1.14,0
Forrest WhitleyHOU,RP,3,0,0,0,0,0,0,0,3.1,5,0,0,3,5,13.5,2.4,0
Steven Christopher WilsonCHW,P,40,0,0,5.71,1,6,0,9,34.2,29,22,8,26,34,8.8,1.59,0
Kyle B. NelsonARI,P,11,0,0,4.22,0,0,0,2,10.2,8,5,2,4,8,6.8,1.13,0
Trey WingenterBOS/CHC,RP,4,0,0,18.69,0,0,0,0,4.1,9,9,2,2,3,6.2,2.54,0
Brett de GeusSEA/MIA,RP,11,0,0,5,0,2,0,0,9,11,5,0,2,6,6,1.44,0
Cooper CriswellBOS,SP,24,18,1,3.98,6,4,0,0,97.1,100,43,10,30,70,6.5,1.34,0
Max MeyerMIA,SP,11,11,3,5.68,3,5,0,0,57,62,36,14,19,46,7.3,1.42,0
Richard FittsBOS,P,1,1,0,0,0,0,0,0,5.2,6,0,0,1,2,3.2,1.24,0
Evan Jacob KravetzCIN,P,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Ryan MillerLAA,RP,5,0,0,1.8,0,0,0,1,5,5,1,0,2,4,7.2,1.4,0
John JusticeCOL,P,1,0,0,0,0,0,0,0,0.1,0,0,0,1,1,27,3,0
Ben CaspariusLAD,P,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Adam OttavinoNYM,RP,54,0,0,4.29,2,2,1,15,50.1,46,24,5,19,63,11.3,1.29,0
Enrique HernandezLAD,3B,3,0,0,5.4,0,0,0,0,3.1,5,2,0,0,0,0,1.5,0
Tyler DuffeyKC,RP,9,0,0,5,1,0,0,1,9,7,5,0,8,10,10,1.67,0
Tyler JayMIL/NYM,RP,5,0,0,4.7,0,0,0,0,7.2,9,4,0,6,6,7,1.96,0
Tanner RaineyWSH,RP,45,0,0,5.09,0,0,0,0,46,45,26,7,28,37,7.2,1.59,0
Gregory SotoPHI/BAL,RP,58,0,0,4.79,2,5,2,9,47,52,25,3,26,59,11.3,1.66,0
Nick NelsonPHI,RP,4,0,0,5.06,0,0,0,0,5.1,8,3,0,2,8,13.5,1.88,0
Ryan FeltnerCOL,SP,27,27,10,4.89,2,10,0,0,143.2,152,78,19,47,127,8,1.39,0
Yosver ZuluetaCIN,RP,9,0,0,5.54,0,0,0,0,13,13,8,1,6,14,9.7,1.46,0
Guillermo ZunigaLAA,RP,6,0,0,5.63,0,0,1,0,8,8,5,1,5,3,3.4,1.63,0
Josh WalkerNYM,RP,10,0,0,5.11,0,0,0,0,12.1,13,7,1,6,11,8,1.54,0
Randy RodriguezSF,RP,33,1,0,3.93,3,2,0,5,50.1,44,22,4,16,52,9.3,1.19,0
Jairo IriarteCHW,RP,3,0,0,3.38,0,0,0,0,2.2,1,1,0,6,4,13.5,2.63,0
Hunter HarveyKC/WSH,RP,49,0,0,4.44,2,4,1,28,50.2,51,25,5,16,55,9.8,1.32,0
Wes ParsonsTOR/CLE,RP,4,0,0,6,0,0,0,0,9,10,6,2,2,7,7,1.33,0
Rowdy TellezPIT,1B,3,0,0,6.75,0,0,0,0,2.2,5,2,0,1,0,0,2.25,0
Andrew WantzLAA,RP,1,0,0,6.75,0,0,0,0,1.1,1,1,1,1,3,20.3,1.5,0
David HensleyMIA,LF,1,0,0,9,0,0,0,0,2,2,2,0,1,0,0,1.5,0
Grant HolmanOAK,RP,12,0,0,5.4,1,1,0,5,10,15,6,1,8,10,9,2.3,0
Spencer ArrighettiHOU,SP,26,26,9,4.72,7,12,0,0,131.2,126,69,19,61,158,10.8,1.42,0
Randy DobnakMIN,RP,4,0,0,5.87,0,0,0,0,7.2,9,5,0,5,7,8.2,1.83,0
Spencer ArrighettiHOU,SP,26,26,9,4.72,7,12,0,0,131.2,126,69,19,61,158,10.8,1.42,0
Josh RojasSEA,3B,2,0,0,9,0,0,0,0,2,1,2,1,2,0,0,1.5,0
Zac KristofakLAA,RP,1,0,0,0,0,0,0,0,2,3,0,0,2,2,9,2.5,0
Shelby MillerDET,RP,49,0,0,4.75,6,8,2,5,53,39,28,9,11,49,8.3,0.94,-0.1
Dallas KeuchelMIL,SP,4,4,0,5.4,0,0,0,0,16.2,23,10,3,8,11,5.9,1.86,-0.1
German MarquezCOL,SP,1,1,0,6.75,0,0,0,0,4,5,3,1,4,3,6.8,2.25,-0.1
Zach McKinstryDET,SS,3,0,0,9,0,0,0,0,2,1,2,1,1,0,0,1,-0.1
Raymond BurgosSF,SP,1,0,0,9,0,0,0,0,1,3,1,0,1,1,9,4,-0.1
Chase ShugartBOS,RP,3,0,0,6,0,0,0,0,6,7,4,1,1,6,9,1.33,-0.1
Tucker BarnhartARI,C,1,0,0,18,0,0,0,0,1,4,2,1,0,0,0,4,-0.1
Aaron HicksLAA,RF,1,0,0,18,0,0,0,0,1,2,2,1,1,0,0,3,-0.1
James McCannBAL,C,1,0,0,18,0,0,0,0,1,2,2,1,0,0,0,2,-0.1
Sean NewcombOAK,RP,7,0,0,6.3,1,0,0,0,10,9,7,2,8,7,6.3,1.7,-0.1
Gerardo ReyesOAK,RP,3,0,0,4.5,0,0,0,0,4,4,2,0,3,2,4.5,1.75,-0.1
MacKenzie GoreWSH,SP,29,29,8,4.34,8,12,0,0,147.1,165,71,14,59,158,9.7,1.52,-0.1
Vidal BrujanMIA,2B,1,0,0,18,0,0,0,0,1,2,2,1,0,1,9,2,-0.1
Scott EffrossNYY,RP,2,0,0,9,0,0,0,0,2,3,2,1,1,2,9,2,-0.1
Tyler FitzgeraldSF,SS,3,0,0,9,0,0,0,0,3,6,3,0,0,0,0,2,-0.1
Brandon EisertTOR,RP,2,0,0,5.79,0,0,0,0,4.2,5,3,0,4,0,0,1.93,-0.1
Dylan DoddATL,SP,1,0,0,9,0,0,0,0,2,4,2,0,1,2,9,2.5,-0.1
Kyle FarmerMIN,2B,1,0,0,13.5,0,0,0,0,2,5,3,0,1,0,0,3,-0.1
Mike YastrzemskiSF,RF,1,0,0,18,0,0,0,0,1,2,2,0,3,0,0,5,-0.1
Luis GuillormeLAA/ATL/ARI,2B,3,0,0,12,0,0,0,0,3,4,4,1,2,0,0,2,-0.1
Vladimir GutierrezMIA,SP,1,0,0,6.75,0,0,0,0,4,3,3,1,2,4,9,1.25,-0.1
Trent ThorntonSEA,RP,64,0,0,3.99,4,3,1,9,65.1,62,29,8,18,69,9.5,1.22,-0.1
Ray KerrATL,RP,10,2,0,5.64,1,2,0,0,22.1,29,14,4,7,27,10.9,1.61,-0.1
Emmanuel RiveraBAL/MIA,3B,4,0,0,9,0,0,0,0,4,7,4,1,0,0,0,1.75,-0.1
Reid DetmersLAA,SP,14,14,4,5.64,4,6,0,0,75,74,47,11,31,88,10.6,1.4,-0.1
Chayce McDermottBAL,SP,1,1,0,6.75,0,0,0,0,4,5,3,1,2,3,6.8,1.75,-0.1
Amos WillinghamWSH,RP,1,0,0,18,0,0,0,0,1,2,2,1,0,1,9,2,-0.1
Rafael MonteroHOU,RP,41,0,0,4.7,1,2,0,10,38.1,35,20,8,19,23,5.4,1.41,-0.1
Jose TrevinoNYY,C,2,0,0,13.5,0,0,0,0,2,5,3,0,2,0,0,3.5,-0.1
Brock StewartMIN,RP,16,0,0,5.17,0,0,0,7,15.2,15,9,2,8,20,11.5,1.47,-0.1
Clayton AndrewsNYY,RP,1,0,0,27,0,0,0,0,0.1,1,1,1,0,1,27,3,-0.1
Anthony MaldonadoMIA,RP,14,1,0,6.75,0,1,1,0,16,20,12,1,5,11,6.2,1.56,-0.1
Justin VerlanderHOU,SP,14,14,5,5.3,3,6,0,0,74.2,79,44,14,24,63,7.6,1.38,-0.1
Matt AndrieseMIA,RP,4,0,0,6,0,1,0,0,6,7,4,2,1,7,10.5,1.33,-0.1
Jacob WaguespackTB,RP,4,1,0,5.4,0,0,0,0,10,13,6,1,10,11,9.9,2.3,-0.1
Humberto CastellanosARI,RP,7,0,0,5.23,0,0,1,0,10.1,11,6,0,4,7,6.1,1.45,-0.1
Spencer StriderATL,SP,2,2,0,7,0,0,0,0,9,10,7,2,5,12,12,1.67,-0.1
Samuel AldegheriLAA,SP,2,2,1,2.45,1,1,0,0,11,9,3,1,5,10,8.2,1.27,-0.1
Wade MileyMIL,SP,2,2,0,6.43,0,1,0,0,7,6,5,1,4,2,2.6,1.43,-0.1
Josh RogersCOL,RP,6,0,0,6.55,2,0,0,0,11,15,8,1,3,3,2.5,1.64,-0.1
Brusdar GraterolLAD,RP,2,0,0,13.5,0,0,0,0,1.1,3,2,0,1,0,0,3,-0.1
Lyon RichardsonCIN,SP,1,0,0,27,0,0,0,0,0.2,2,2,1,1,1,13.5,4.5,-0.1
Matt KrookBAL,RP,1,0,0,18,0,0,0,0,1,1,2,1,1,2,18,2,-0.1
Joe JacquesBOS/ARI,RP,2,0,0,9,0,0,0,0,3,6,3,1,1,2,6,2.33,-0.1
Jose LeclercTEX,RP,57,0,0,4.48,6,4,1,10,60.1,50,30,7,30,83,12.4,1.33,-0.1
Logan AllenARI,RP,12,0,0,5.46,0,1,1,1,28,32,17,3,10,21,6.8,1.5,-0.1
Anthony MaldonadoMIA,RP,14,1,0,6.75,0,1,1,0,16,20,12,1,5,11,6.2,1.56,-0.1
Miguel CastroARI,RP,11,0,0,5.93,0,0,0,1,13.2,20,9,3,3,8,5.3,1.68,-0.1
Nick HernandezHOU,RP,5,0,0,7.88,0,0,0,0,8,10,7,4,1,10,11.3,1.38,-0.1
Owen MillerMIL,1B,1,0,0,18,0,0,0,0,2,5,4,1,1,0,0,3,-0.1
Grant HartwigNYM,RP,4,0,0,6.75,0,0,0,0,6.2,6,5,1,4,4,5.4,1.5,-0.1
Janson JunkOAK/MIL,RP,6,0,0,14.63,0,0,0,0,8,22,13,3,4,8,9,3.25,-0.1
Luis ContrerasHOU,RP,5,0,0,9,0,0,0,0,6,7,6,0,2,6,9,1.5,-0.1
Luis OrtizPHI,RP,1,0,0,27,0,0,0,0,0.2,3,2,0,0,0,0,4.5,-0.1
Brandon CrawfordSTL,SS,1,0,0,27,0,0,0,0,1.1,3,4,0,2,0,0,3.75,-0.1
Jose LeclercTEX,RP,57,0,0,4.48,6,4,1,10,60.1,50,30,7,30,83,12.4,1.33,-0.1
Logan AllenARI,RP,12,0,0,5.46,0,1,1,1,28,32,17,3,10,21,6.8,1.5,-0.1
Jonathan BermudezMIA,SP,3,1,0,8.1,0,1,0,0,6.2,11,6,2,2,4,5.4,1.95,-0.1
Mike ClevingerCHW,SP,4,4,0,6.75,0,3,0,0,16,22,12,4,9,15,8.4,1.94,-0.1
Evan PhillipsLAD,RP,54,0,0,2.96,3,1,18,7,48.2,42,16,6,14,58,10.7,1.15,-0.1
Cody BoltonSEA,RP,17,0,0,4.34,0,0,0,0,18.2,18,9,3,9,17,8.2,1.45,-0.1
Nate PearsonTOR/CHC,RP,53,0,0,4.4,2,1,2,9,59.1,55,29,11,19,68,10.3,1.25,-0.1
Ryder RyanPIT,RP,15,0,0,5.66,1,0,0,3,20.2,21,13,2,9,17,7.4,1.45,-0.1
Parker DunsheeATL,SP,1,0,0,19.29,0,0,0,0,2.1,4,5,2,2,3,11.6,2.57,-0.1
Joan AdonWSH,RP,8,1,0,6.75,0,0,0,0,10.2,12,8,2,4,6,5.1,1.5,-0.1
Logan GillaspieSD,RP,9,0,0,7.15,0,0,0,0,11.1,15,9,2,0,7,5.6,1.32,-0.1
Zach BrzykcyWSH,SP,4,0,0,12.27,0,0,0,0,3.2,5,5,0,3,3,7.4,2.18,-0.1
Orlando RibaltaWSH,RP,4,0,0,13.5,0,0,0,0,3.1,10,5,0,2,3,8.1,3.6,-0.1
Carson SpiersCIN,RP,20,9,2,5.49,5,6,0,1,83.2,103,51,17,24,78,8.4,1.52,-0.1
Anthony GoseCLE,RP,3,0,0,10.38,0,0,0,0,4.1,9,5,2,1,4,8.3,2.31,-0.2
Yonny ChirinosMIA,SP,6,6,0,6.3,0,2,0,0,30,43,21,7,13,25,7.5,1.87,-0.2
Luke MaileCIN,C,3,0,0,14.73,0,0,0,0,3.2,6,6,1,0,0,0,1.64,-0.2
Brady FeiglPIT,SP,1,0,0,32.4,0,0,0,0,1.2,7,6,1,0,0,0,4.2,-0.2
Johnny CuetoLAA,SP,2,2,1,7.15,0,2,0,0,11.1,14,9,4,3,6,4.8,1.5,-0.2
Tyler KinleyCOL,RP,65,0,0,5.89,5,1,12,14,62.2,59,41,11,32,70,10.1,1.45,-0.2
Enyel De Los SantosSD/CHW/NYY,RP,57,0,0,5.53,1,2,1,8,55.1,60,34,15,21,62,10.1,1.46,-0.2
Matt MervisCHC,1B,1,0,0,81,0,0,0,0,0.2,7,6,0,0,0,0,10.5,-0.2
Cristian MenaARI,SP,1,1,0,12,0,0,0,0,3,4,4,2,3,2,6,2.33,-0.2
Joey LucchesiNYM,SP,1,1,0,10.38,0,1,0,0,4.1,5,5,1,4,2,4.2,2.08,-0.2
Kenny RosenbergLAA,RP,4,1,0,6.87,0,1,0,0,18.1,20,14,5,7,12,5.9,1.47,-0.2
Eduard BazardoSEA,RP,17,0,0,6.04,1,0,0,0,22.1,15,15,2,9,29,11.7,1.07,-0.2
Xzavion CurryCLE/MIA,RP,12,4,0,5.35,1,2,0,1,33.2,35,20,6,6,23,6.1,1.22,-0.2
Erasmo RamirezTB,RP,13,0,0,4.35,3,0,1,0,20.2,12,10,5,10,15,6.5,1.06,-0.2
Alex WoodOAK,SP,9,9,1,5.26,1,3,0,0,39.1,51,23,6,19,33,7.6,1.78,-0.2
Gregory SantosSEA,RP,6,0,0,6.75,0,1,0,1,5.1,6,4,0,1,5,8.4,1.31,-0.2
Tyler AlexanderTB,RP,20,7,1,5.5,6,4,0,0,93.1,100,57,23,21,76,7.3,1.3,-0.2
Joe La SorsaWSH,RP,9,0,0,7.45,0,0,0,0,9.2,13,8,3,3,9,8.4,1.66,-0.2
Eric OrzeNYM,RP,2,0,0,21.6,0,1,0,0,1.2,3,4,1,2,1,5.4,3,-0.2
Stephen KolekSD,RP,42,0,0,5.21,3,0,0,2,46.2,59,27,4,12,39,7.5,1.52,-0.2
Bryan ShawCHW,RP,5,0,0,9,0,1,0,0,4,8,4,1,4,4,9,3,-0.2
Julio TeheranNYM,SP,1,1,0,13.5,0,0,0,0,2.2,6,4,1,2,3,10.1,3,-0.2
Alan BusenitzCIN,RP,1,0,0,27,0,0,0,0,1,4,3,0,0,0,0,4,-0.2
Caleb FergusonHOU/NYY,RP,57,0,0,4.21,1,4,1,11,51.1,52,24,6,24,61,10.7,1.48,-0.2
Jonathan BowlanKC,SP,1,1,0,13.5,0,1,0,0,2.2,6,4,3,3,3,10.1,3.38,-0.2
Jack NeelyCHC,RP,4,0,0,13.5,0,0,0,0,4,6,6,2,2,5,11.3,2,-0.2
Eduardo RodriguezARI,SP,6,6,0,5.83,2,2,0,0,29.1,35,19,4,10,18,5.5,1.53,-0.2
Shawn ArmstrongSTL/CHC/TB,RP,55,7,0,4.71,3,3,1,4,65,72,34,6,25,65,9,1.49,-0.2
Noah DavisCOL,RP,9,0,0,5.75,0,0,0,1,20.1,31,13,3,7,15,6.6,1.87,-0.2
Daniel PalenciaCHC,RP,9,0,0,7.11,0,1,1,0,12.2,14,10,0,12,14,9.9,2.05,-0.2
George SorianoMIA,RP,20,0,0,5.54,1,1,1,2,26,23,16,5,11,28,9.7,1.31,-0.2
Jake BlossHOU,SP,3,3,0,6.94,0,1,0,0,11.2,16,9,5,3,11,8.5,1.63,-0.2
Caden DanaLAA,SP,2,2,1,9,1,1,0,0,7,9,7,4,5,5,6.4,2,-0.2
Aaron BrooksOAK,SP,5,4,2,5.06,0,2,0,0,26.2,33,15,4,8,12,4.1,1.54,-0.2
Garrett StubbsPHI,C,4,0,0,15.75,0,0,0,0,4,6,7,2,2,0,0,2,-0.2
Matt SauerKC,SP,14,0,0,7.71,0,0,0,0,16.1,23,14,3,11,9,5,2.08,-0.2
Casey LeguminaCIN,RP,4,0,0,9.95,0,0,0,0,6.1,11,7,2,2,4,5.7,2.05,-0.2
Chase SilsethLAA,SP,2,2,0,6.75,0,1,0,0,8,8,6,3,4,12,13.5,1.5,-0.2
Bradley BlalockCOL/MIL,SP,7,6,0,5.87,1,3,0,0,30.2,35,20,4,20,20,5.9,1.79,-0.2
Robert GarciaWSH,RP,66,0,0,4.33,3,5,0,11,54,51,26,4,16,69,11.5,1.24,-0.2
Nick RamirezLAD,RP,8,0,0,6.08,0,0,0,0,13.1,18,9,0,7,5,3.4,1.88,-0.2
Burch SmithBAL/MIA,RP,49,0,0,5.13,4,1,0,4,54.1,64,31,6,12,43,7.1,1.4,-0.2
Brad KellerBOS/CHW,RP,16,2,0,5.44,0,4,1,0,41.1,48,25,9,15,32,7,1.52,-0.2
John CurtissCOL,RP,3,0,0,15.43,0,0,0,0,2.1,6,4,2,0,1,3.9,2.57,-0.2
Brock BurkeTEX/LAA,RP,26,1,0,6.41,1,1,0,1,26.2,30,19,3,13,37,12.5,1.61,-0.2
Matt BarnesWSH,RP,14,0,0,6.75,0,0,0,0,13.1,16,10,1,4,10,6.8,1.5,-0.2
Phil BickfordNYY,RP,8,0,0,8.64,0,0,0,0,8.1,10,8,1,1,6,6.5,1.32,-0.2
Austin DavisSD,RP,7,0,0,9,0,0,0,0,7,6,7,0,5,6,7.7,1.57,-0.2
Mason EnglertDET,RP,12,1,0,5.4,1,0,0,0,21.2,23,13,4,5,16,6.6,1.29,-0.2
Quinn PriesterPIT,SP,10,6,2,5.04,2,6,0,0,44.2,52,25,7,13,31,6.2,1.46,-0.2
Dan AltavillaKC,RP,5,1,0,14.73,0,1,0,0,3.2,5,6,1,3,5,12.3,2.18,-0.3
Jhonathan DiazSEA,RP,4,1,0,6.14,0,1,0,0,7.1,13,5,2,2,7,8.6,2.05,-0.3
Michael TonkinMIN/NYM/NYY,RP,50,0,0,3.73,4,4,2,1,72.1,62,30,6,28,77,9.6,1.24,-0.3
Ryan BoruckiPIT,RP,8,0,0,8.1,0,0,0,3,6.2,8,6,2,1,10,13.5,1.35,-0.3
Elieser HernandezLAD/MIL,RP,9,1,1,6.32,0,1,0,0,15.2,14,11,5,5,8,4.6,1.21,-0.3
Michael PetersenLAD,RP,11,0,0,6.43,3,0,0,1,14,14,10,3,8,11,7.1,1.57,-0.3
Kai-Wei TengSF,RP,4,0,0,9.82,0,0,0,0,11,15,12,2,8,7,5.7,2.09,-0.3
Gavin WilliamsCLE,SP,14,14,3,5.23,3,9,0,0,65.1,63,38,7,28,69,9.5,1.39,-0.3
Tyler WellsBAL,SP,3,3,1,5.87,0,2,0,0,15.1,18,10,3,3,13,7.6,1.37,-0.3
Easton LucasOAK/DET,RP,6,0,0,10.29,1,0,0,0,7,11,8,0,5,8,10.3,2.29,-0.3
Paolo EspinoTOR,RP,3,1,0,8.31,0,1,0,0,8.2,14,8,3,5,3,3.1,2.19,-0.3
Emmanuel RamirezMIA,RP,15,0,0,6.97,0,1,0,0,20.2,21,16,3,8,21,9.1,1.4,-0.3
Clayton KershawLAD,SP,7,7,1,4.5,2,2,0,0,30,36,15,2,9,24,7.2,1.5,-0.3
Steven OkertMIN,RP,44,1,0,5.09,3,2,1,7,35.1,37,20,6,16,33,8.4,1.5,-0.3
Giovanny GallegosSTL,RP,21,0,0,6.53,2,1,1,2,20.2,24,15,6,10,21,9.1,1.65,-0.3
Owen WhiteTEX,RP,3,0,0,24,0,0,0,0,3,9,8,1,1,0,0,3.33,-0.3
Zach PlesacLAA,SP,3,3,1,8.25,1,1,0,0,12,12,11,4,7,5,3.8,1.58,-0.3
Andrew SaalfrankARI,RP,2,0,0,36,0,0,0,0,1,2,4,0,4,0,0,6,-0.3
Austin PruittTEX,RP,4,0,0,12.46,0,0,0,1,4.1,8,6,3,3,1,2.1,2.54,-0.3
Kent EmanuelMIA,RP,12,0,0,6.62,0,0,0,0,17.2,20,13,4,7,12,6.1,1.53,-0.3
Joey CantilloCLE,SP,6,5,1,5.96,1,3,0,0,25.2,23,17,6,9,25,8.8,1.25,-0.3
Justin BruihlPIT,RP,7,0,0,9.53,0,0,0,0,5.2,9,6,1,1,5,7.9,1.76,-0.3
Alek ManoahTOR,SP,5,5,2,3.7,1,2,0,0,24.1,17,10,5,8,26,9.6,1.03,-0.3
